,Name,Genre,Revenue,Director,Tomatometer,Audience
117,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
118,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
119,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
120,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
121,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
122,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
123,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
124,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
125,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
126,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
127,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
128,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
129,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
130,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
131,Dune,"Sci-fi, Adventure",,David Lynch,37,65
132,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
133,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
134,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
135,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
136,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
137,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
138,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
139,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
140,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
141,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
