,Name,Genre,Revenue,Director,Tomatometer,Audience
6535,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
6536,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
6537,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
6538,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
6539,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
6540,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
6541,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
6542,Dune,"Sci-fi, Adventure",,David Lynch,37,65
6543,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
6544,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
6545,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
6546,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
6547,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
6548,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
6549,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
6550,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
6551,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
6552,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
6553,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
6554,Ferrari,Drama,$18.5M,Michael Mann,72,74
6555,May December,"Drama, Romance",,Todd Haynes,9,66
6556,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
6557,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
6558,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
6559,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
6560,Upgraded,"Romance, Comedy",,Carlson Young,77,67
6561,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
6562,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
6563,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
6564,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
6565,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
6566,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
6567,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
6568,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
6569,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
6570,Reptile,"Crime, Drama",,Grant Singer,45,7
6571,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,6
6572,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
6573,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
6574,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
6575,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
6576,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
6577,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
6578,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
6579,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
6580,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
6581,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
6582,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
6583,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
6584,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
6585,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
6586,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
6587,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
6588,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
6589,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
6590,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
6591,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
6592,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
6593,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
6594,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
6595,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
6596,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
6597,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
6598,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
6599,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
6600,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
6601,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
6602,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
6603,Memory,Drama,$378.7K,Michel Franco,84,73
6604,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
6605,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
6606,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
6607,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
6608,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
6609,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
6610,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
6611,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
6612,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
6613,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
6614,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
6615,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
6616,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
6617,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
6618,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
6619,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
6620,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
6621,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
6622,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
6623,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,78
6624,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
6625,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
6626,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,91
6627,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
6628,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
6629,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
6630,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
6631,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
6632,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
6633,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
6634,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
6635,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
6636,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
6637,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
6638,Code 8,Sci-fi,,Jeff Chan,81,62
6639,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
6640,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
6641,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
6642,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
6643,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
6644,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
6645,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
6646,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
6647,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
6648,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
6649,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
6650,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
6651,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
6652,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
6653,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
6654,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
6655,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
6656,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
6657,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
6658,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
6659,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
6660,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
6661,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
6662,Dune,"Sci-fi, Adventure",,David Lynch,37,65
6663,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
6664,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
6665,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
6666,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
6667,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
6668,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
6669,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
6670,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
6671,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
6672,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
6673,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
6674,Ferrari,Drama,$18.5M,Michael Mann,72,74
6675,May December,"Drama, Romance",,Todd Haynes,9,66
6676,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
6677,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
6678,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
6679,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
6680,Upgraded,"Romance, Comedy",,Carlson Young,77,67
6681,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
6682,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
6683,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
6684,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
6685,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
6686,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
6687,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
6688,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
6689,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
6690,Reptile,"Crime, Drama",,Grant Singer,45,7
6691,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,6
6692,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
6693,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
6694,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
6695,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
6696,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
6697,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
6698,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
6699,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
6700,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
6701,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
6702,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
6703,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
6704,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
6705,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
6706,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
6707,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
6708,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
6709,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
6710,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
6711,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
6712,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
6713,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
6714,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
6715,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
6716,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
6717,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
6718,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
6719,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
6720,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
6721,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
6722,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
6723,Memory,Drama,$378.7K,Michel Franco,84,73
6724,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
6725,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
6726,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
6727,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
6728,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
6729,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
6730,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
6731,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
6732,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
6733,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
6734,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
6735,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
6736,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
6737,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
6738,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
6739,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
6740,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
6741,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
6742,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
6743,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,78
6744,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
6745,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
6746,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,91
6747,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
6748,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
6749,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
6750,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
6751,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
6752,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
6753,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
6754,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
6755,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
6756,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
6757,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
6758,Code 8,Sci-fi,,Jeff Chan,81,62
6759,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
6760,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
6761,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
6762,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
6763,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
6764,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
6765,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
6766,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
6767,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
6768,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
6769,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
6770,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
6771,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
6772,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
6773,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
6774,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
6775,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
6776,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
6777,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
6778,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
6779,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
6780,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
6781,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
6782,Dune,"Sci-fi, Adventure",,David Lynch,37,65
6783,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
6784,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
6785,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
6786,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
6787,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
6788,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
6789,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
6790,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
6791,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
6792,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
6793,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
6794,Ferrari,Drama,$18.5M,Michael Mann,72,74
6795,May December,"Drama, Romance",,Todd Haynes,9,66
6796,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
6797,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
6798,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
6799,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
6800,Upgraded,"Romance, Comedy",,Carlson Young,77,67
6801,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
6802,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
6803,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
6804,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
6805,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
6806,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
6807,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
6808,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
6809,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
6810,Reptile,"Crime, Drama",,Grant Singer,45,7
6811,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,6
6812,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
6813,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
6814,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
6815,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
6816,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
6817,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
6818,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
6819,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
6820,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
6821,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
6822,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
6823,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
6824,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
6825,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
6826,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
6827,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
6828,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
6829,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
6830,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
6831,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
6832,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
6833,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
6834,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
6835,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
6836,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
6837,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
6838,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
6839,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
6840,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
6841,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
6842,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
6843,Memory,Drama,$378.7K,Michel Franco,84,73
6844,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
6845,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
6846,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
6847,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
6848,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
6849,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
6850,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
6851,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
6852,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
6853,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
6854,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
6855,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
6856,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
6857,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
6858,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
